example,stage,Grf,Dadv,context,degree,abstract,compositionality
胸中广博，极有口才，也是一个 [有] 意思的人,2,1,0,1,2,1,1
固然尼姑生得大 [有] 颜色，亦是客边人易得动火,2,1,1,1,1,1,1
看见人家 [有] 些颜色的妇人，便思勾搭上场，不上手不休,2,1,0,1,1,1,1
有许多话头做作，哄动这些血气未定的少年，其实有枝有叶，有滋 [有] 味,2,0,0,1,1,1,2
有许多话头做作，哄动这些血气未定的少年，其实有枝有叶，有滋 [有] 味,2,0,0,1,1,2,2
有许多话头做作，哄动这些血气未定的少年，其实有枝有叶，有滋 [有] 味,2,0,0,1,1,2,2
两个谈话 [有] 味，不觉夜已二鼓,2,0,0,1,2,1,2
闻得枣阳县王公之女大 [有] 颜色，一县闻名，出五十金财礼，央媒议亲,2,0,1,1,1,1,1
王公倒也乐从，只怕前婿 [有] 言，亲到蒋家与兴哥说知,2,0,0,1,1,1,2
这婆子爱的是钱财，明知侄儿媳妇 [有] 东西，随问什么人家他也不管，只指望要几两银子,2,0,0,1,1,1,2
肚里想道∶“家中妻子，虽 [有] 些颜色，怎比得妇人一半,2,0,0,1,1,1,1
粉头、小优儿如同鲜花一般，你惜怜他，越发 [有] 精神,2,0,1,1,2,1,2
然较之唐人“野水多於地，春山半是云”之句，殊觉安闲 [有] 味也,2,0,0,0,2,1,2
此宋庞右甫《过汴京》诗也，甚感慨 [有] 味,2,0,0,1,2,1,2
正是那纣王力如三春茂草，越战越 [有] 精神；众诸侯怒发，恍似轰雷，喊杀声闻斗柄,2,0,1,1,2,1,2
余观《迪功》二集，豪纵英裁，格高调雅，驰骋於汉唐之间，婉而 [有] 味，浑而无迹,2,0,0,1,2,1,2
西门庆心中暗喜：果然此药 [有] 些意思,2,0,0,1,2,1,2
谁不知姐姐 [有] 钱，明日惯的他每小厮丫头养汉做贼，把人说遍了，也休要管他,2,0,0,1,2,1,2
伯爵道：“哥，你不知，冬寒时月，比不的你们 [有] 钱的人家，又有偌大前程，生个儿子锦上添花，便喜欢,2,1,0,1,2,1,2
月娘笑道：“左右和你家一般样儿，也 [有] 鼻儿也有眼儿，莫不差别些儿,2,0,0,1,1,2,2
月娘笑道：“左右和你家一般样儿，也有鼻儿也 [有] 眼儿，莫不差别些儿,2,0,0,1,1,2,2
他这人家 [有] 钱的另一样待，无钱的另一样,2,1,0,1,2,1,2
那张二官儿好不 [有] 钱，骑着大白马，四五个小厮跟随，坐在俺每堂屋里只顾不去,2,0,1,1,2,1,2
自古亲儿骨肉，五娘 [有] 钱，不孝顺姥姥，再与谁,2,0,0,1,2,1,2
金莲因对着李娇儿说：“他明日请他 [有] 钱的大姨儿来看灯吃酒，一个老行货子，观眉观眼的，不打发去了，平白教他在屋里做甚么,2,1,0,1,2,1,2
老鸨见 [有] 钱，把翠香打扮当作玉姐,2,0,0,1,2,1,2
金莲道：“我比不得他 [有] 钱的姐姐,2,1,0,1,2,1,2
人都知西门庆家 [有] 钱，不敢来打点,2,0,0,1,2,1,2
说这一干共十数人，见西门庆手里 [有] 钱，又撒漫肯使，所以都乱撮哄着他耍钱饮酒，嫖赌齐行,2,0,0,1,2,1,2
你说你 [有] 钱，快转换汉子，我手里容你不得,2,0,0,1,2,1,2
四个唱的见他手里 [有] 钱，都乱趋奉着他，娘长娘短，替他拾花翠，叠衣裳，无所不至,2,0,0,1,2,1,2
我教你不要慌，你另叙上了 [有] 钱的汉子，不理我了，要把我打开，故意儿嚣我，讪我，又趍我,2,1,0,1,2,1,2
朝来暮往，街坊人家也都知道这件事，惧怕西门庆 [有] 钱有势，谁敢惹他,2,0,0,1,2,1,2
连谢希大也不知是甚么做的，这般 [有] 味，酥脆好吃,2,0,1,1,2,1,2
想他恁在外做买卖， [有] 钱，他不会养老婆的,2,0,0,1,2,1,2
随你家怎的 [有] 钱，也不该拿金子与孩子耍,2,0,1,1,2,1,2
随你家怎么 [有] 钱有势，和你家一递一状,2,0,1,1,2,1,2
多少 [有] 钱者，临了没棺材,2,1,0,1,2,1,2
再接 [有] 钱的客官，省你受气,2,1,0,1,2,1,2
又见带了两个从嫁丫鬟，一个兰香，年十八岁，会弹唱；一个小鸾，年十五岁，俱 [有] 颜色,2,0,1,1,1,1,1
阁下就是这般 [有] 钱,2,0,1,1,2,1,2
他 [有] 钱时就认不得兄弟，如今没钱就来我家等饭吃了，我没这些闲饭养人,2,0,0,1,2,1,2
樵夫却是个 [有] 意思的，道：“列位不须粗鲁，待我解衣相见,2,1,0,1,2,1,2
这刺绣的女子，也是 [有] 根 [有] 叶人家，住在南康府西,2,1,0,0,1,2,2
后丕又纳安平广宗人郭永之女为贵妃，甚 [有] 颜色；其父尝曰：“吾女乃女中之王也,2,0,1,1,1,1,1
三诗皆 [有] 意味,2,0,0,0,2,1,2
殊 [有] 意味,2,0,1,0,2,1,2
全篇确切 [有] 味,2,0,1,0,2,1,2
而苍山此诗，抑扬假说 [有] 意味,2,0,0,0,2,1,2
颇 [有] 意味,2,0,1,0,2,1,2
亦 [有] 意味,2,0,1,0,2,1,2
修曰：“以今夜号令，便知魏王不日将退兵归也：鸡肋者，食之无肉，弃之 [有] 味,2,0,0,1,2,1,2
好差使总被 [有] 钱的谋去了，进忠没钱用，就拨在东宫监守门去了,2,1,0,1,2,1,2
〔净〕呀，远远望见一个妇人来，且是生得 [有] 些意思,2,1,0,1,2,1,2
时有大臣刘琰妻胡氏，极 [有] 颜色；因入宫朝见皇后，后留在宫中，一月方出,2,0,1,1,1,1,1
他又 [有] 钱有势,2,0,0,1,2,1,2
年方一十八岁，颇 [有] 些颜色,2,0,1,1,1,1,1
那清河县里有一个大户人家，有个使女，小名唤做潘金莲，年方二十余岁，颇 [有] 些颜色,2,0,1,1,1,1,1
此篇多用虚字，辞达 [有] 味,2,0,0,0,2,1,2
景虚而 [有] 味,2,0,0,0,2,1,2
诗有辞前意、辞後意，唐人兼之，婉而 [有] 味，浑而无迹,2,0,0,0,2,1,2
耶律丞相门客赵衍所作，清丽 [有] 味，颇类唐调,2,0,0,0,2,1,2
大篇约为短章，涵蓄 [有] 味；短章化为大篇，敷演露骨,2,0,0,0,2,1,2
翻案《家语》而 [有] 味,2,0,0,0,2,1,2
此联闲雅 [有] 味，然出自吕居仁“手香橙熟後，发脱草枯时,2,0,0,0,2,1,2
譬如丹柰 [有] 色有味，到口即佳，不假於剥皮也,2,0,0,0,1,1,1
譬如丹柰有色 [有] 味，到口即佳，不假於剥皮也,2,0,0,0,2,1,1
武松吃了道：“这酒略 [有] 些意思,2,0,1,1,2,1,2
此作雅淡 [有] 味，但虚字太多，体格稍弱,2,0,0,1,2,1,2
虽是小妇人丑陋，却幸小女俱 [有] 几分颜色，女工针指,2,0,1,1,1,1,1
此“贺”字尤 [有] 味，如赋一绝则不孤此句，流於敷演，格斯下矣,2,0,1,1,2,1,2
孙新道：“毛太公那厮， [有] 钱有势,2,0,0,1,1,1,2
一日因来庙里行香，不想正见了玉娇枝 [有] 些颜色，累次着人来说，要娶他为妫攥又把王羲枣配远恶军州,2,0,0,1,1,1,1
总然妻子 [有] 些颜色，也无些什么意兴,2,0,0,1,1,1,1
行者道：“不是笑他，我这笑中 [有] 味,2,0,0,1,2,1,2
因见钮成老婆 [有] 三四分颜色，指望以此为繇，要勾搭这婆娘,2,0,0,1,1,1,1
幸喜合监的人，知他是个 [有] 钱主儿，奉承不暇，流水把膏药末药送来,2,1,0,1,1,1,2
卢楠说：“我看陆公所为，是 [有] 肝胆的豪杰，不比那龌龊贪利的小辈,2,1,0,1,1,2,2
那借金银人，身贫无计，结成凶党，明火执杖，白日杀上我门，将我财帛尽情劫掳，把我父亲杀了；见我母亲 [有] 些颜色，拐将去做甚么压寨夫人,2,0,0,1,1,1,1
你当初 [有] 钱是个财主，人自然趋奉你；今日无钱，是个穷鬼，便不礼你，又何怪哉,2,0,0,1,2,1,2
那人见大娘子如此小心，又生得 [有] 几分颜色，便问道：“你肯跟我做个压寨夫人么？,2,1,1,1,1,1,1
垂老读来尤 [有] 味，文人从此莫相轻,2,0,1,1,2,1,2
毕竟晁凤 [有] 些主意的人，说道：“事还没见的实,2,1,0,1,1,1,2
你是个 [有] 意思的人，见了这们的事，该回头，该赞叹,2,1,0,1,2,1,2
是个 [有] 主意有意思的女人，我当是个混帐老婆来,2,1,0,1,1,1,2
是个有主意 [有] 意思的女人，我当是个混帐老婆来,2,1,0,1,1,1,2
但那真正 [有] 钱的大户，不是结识的人好，就是人怕他的财势，不敢报他,2,1,1,0,1,1,2
到 [有] 十分颜色，又且通书达礼,2,0,1,1,1,1,1
要是手段拿的出去，能摆上两三席酒来，再 [有] 几分颜色，得三十两往下二十五两往上的数儿,2,0,0,1,1,1,1
相栋宇的夫人又都是大 [有] 意思的人，免了狄员外许多的照管,2,1,1,1,2,1,2
是年冬间，凭媒说合，娶得一妻，年二十岁，生得大 [有] 颜色,2,1,1,1,1,1,1
虽然没有那沉鱼落雁之姿，却也 [有] 几分颜色,2,0,1,1,1,1,1
喜得堂上官是个 [有] 主意的人，那人姓陆，名炳，平时极敬重沈公的节气,2,1,0,1,1,1,2
[有] 钱的大家凡百方便，不足二十日盖完了书房,2,1,0,1,2,1,2
闻得枣阳县王公之女，大 [有] 颜色，一县闻名，出五十金财礼，央媒议亲,2,0,1,1,1,1,1
又说那些替人做短工的人，若说这数伏天气，赤日当空的时候，那 [有] 钱的富家，便多与他个把钱也不为过,2,1,0,0,2,1,2
知陆秀才是 [有] 主意的人，又是同窗中的至契之友，特地与他商量,2,1,0,1,1,1,2
回到下处，心心念念的放他不下，肚里想着：“家中妻子，虽是 [有] 些颜色，怎比得妇人一半,2,0,1,1,1,1,1
若诵了经，只管往好处去，那 [有] 钱的人请几千几百的僧,2,1,0,0,2,1,2
