example,stage,Grf,Dadv,context,degree,abstract,compositionality
志士们论辩愈有精神，这沉闷的空气更加浓厚,3,0,1,0,2,1,2
这几句说得有声有色，似乎梅女士也受了感动，从昨天起的不大喜欢这位少年的意思也在无形中减少几分,3,1,0,1,1,1,2
这几句说得有声有色，似乎梅女士也受了感动，从昨天起的不大喜欢这位少年的意思也在无形中减少几分,3,1,0,1,1,1,2
情形是这么着，即使本来有意义的事，也要变成索然无味了,3,1,0,1,2,1,2
但现在你要在上海过一点有意义的生活，你就应该先抛弃了那些个人间的感情和意见,3,1,0,1,2,1,2
当面的风景虽然很有意义，但现在也使她略感得些厌倦了,3,0,1,1,2,1,2
我同别人不一样，我是有钱的,3,1,0,1,2,1,2
我想那般有钱住洋房子的人，一定要说这是不聪明的吧,3,0,0,1,2,1,2
春天已经早就灿烂得有色有声的了，我仅仅能够株守在我的小室中,3,1,0,1,1,1,1
春天已经早就灿烂得有色有声的了，我仅仅能够株守在我的小室中,3,1,0,1,1,1,1
已作成了有生以来生活上的满足的顶点，要是能长共相保，该是多么有意义,3,1,1,1,2,1,2
故观念、信仰、行动诸倾向，每为社会环境之力所造成，意识的学校之教育，不过使此倾向，更醇化更有意义耳,3,0,1,0,2,1,2
好，小姑娘，你到底是个聪明孩子，有主意,3,0,0,1,2,1,2
这些地方全靠大驿路，地方好，出产多，住人多，占过来处处有发展,3,0,0,1,2,1,2
我就想，明天一天亮，我就到各处瞧一瞧，哼，一定有意思,3,0,0,1,2,1,2
有钱的人们早跑个精光了，最受祸害的还是他们劳苦贫穷的群,3,1,0,0,2,1,2
你还是那般有精神，有兴趣地唱着,3,1,0,1,2,1,2
你还是那般有精神，有兴趣地唱着,3,1,0,1,2,1,2
然而希耳施斐尔特的多年努力却终因一棒喝而归于水泡，这似乎都非偶然，都颇有意义，可以给我们做参考,3,0,1,1,2,1,2
只有命相两项，现在仍有生意,3,0,0,1,1,1,2
我相信你的话，我看你是有知识的,3,0,0,1,2,1,1
我们因为我们的相爱而更有精神起来，更努力起来，我们对人生更不放松了,3,0,1,1,2,1,2
但后者实际问题之研究，较前更有意义，适合于现今之运动云,3,0,1,1,2,1,2
吾人欲使此生有意义，欲使此生有价值,3,1,0,0,2,1,2
吾人欲使此生有意义，欲使此生有价值,3,1,0,0,2,1,2
尤其以竹帘为上，不看见那从疏密不一的竹帘里漏进来的明暗匀和的光线，和那忽隐忽现的隔帘花影么？这是多末有味道呵！,3,1,1,1,2,1,2
我见着他那很有意思的微笑，我知道他这时所作的事，对于他自己感觉到如何快愉,3,1,1,1,2,1,2
在社会上地位好，有钱，所得到的一切享受也就惬意,3,0,0,1,2,1,2
特别是坐在热坑头上，听人讲古，是非常有味道的,3,1,1,1,2,1,2
在各种课外活动中对于全体精神最有影响的，就是由学生负责编辑的校刊,3,1,1,1,2,1,2
他有工夫，有忍耐，有志气，有理想，然而缺乏运气,3,0,0,1,2,1,2
他是自己级里唯一最有成绩的人，就是在这河岸，这市梢上也是无敌的,3,1,1,1,2,1,2
事件的发展越发有味，它里面的机会成分也更加重,3,0,1,0,2,1,2
他们有经验的老兵比我还要善于辨别呢,3,1,0,1,2,1,2
德国马尔堡派对于“遗觉的影象”的研究甚有成绩,3,0,1,1,2,1,2
这休息，且是准备着一种更有意义的振翅，这休息不十分坏,3,1,1,1,2,1,2
有钱的人们却以贿赂使工程师的图纸上的路线拐一个弯,3,1,0,0,2,1,2
"这个麦作试验场是颇有成绩的一个，他们正在大量的繁殖着""小红芒""一个品种",3,1,1,1,2,1,2
做有钱的人底干女儿，油水是正有得揩的,3,1,0,0,2,1,2
她想着年头不景气，房子且没人要呢，那知犹太人到底有钱，竟要了去,3,0,1,1,2,1,2
老子跟你找一门好亲事，有钱有势；老子也搭着享点儿老福,3,0,0,1,2,1,2
